"filename", "language", "JavaScript", "PHP", "JSON with Comments", "JSON", "CSS", "HTML", "XML", "YAML", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionPHP\login.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionPHP\logout.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionPHP\registrar.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 9, 20, 101
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\ActionModalCep.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\ActionVerificarSessao.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\containerAction.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\dropdownButtonsAnim.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\loginEmailCelularPreen.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\loginSenhaPreen.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\loginToast.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\modalAction.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroCelularAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroCepInvalidoAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroCepPreenAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroCidadePreenAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroEmailAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroEnderecoAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\Projeto_TCC-Bootstrap\ActionsJS\registroNomeAction.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
